UTC Time,MES, R_Run, S_S, VN, UR_V, L_OP1I, L_OP1O, L_OP2I, L_OP2O, DI, DO, J_V_0, J_V_1, J_V_2, J_V_3, J_V_4, J_V_5, J_P_0, J_P_1, J_P_2, J_P_3, J_P_4, J_P_5, J_C_0, J_C_1, J_C_2, J_C_3, J_C_4, J_C_5, TCP_F_0, TCP_F_1, TCP_F_2, TCP_T_0, TCP_T_1, TCP_T_2,Label
1:54:41 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.08744346,0.1111665,-0.09413244,-1.670601,0.5971113,-0.1357226,2.072404,-1.112483,-0.08433902,0.06705096,-0.006961145,-0.2426778,Normal
1:54:42 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.0994278,0.1148946,-0.1005909,-1.662626,0.6744015,-0.1639613,2.152067,-0.8448408,-0.559067,0.06020993,-0.01682531,-0.2507384,Normal
1:54:42 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.07656352,0.1012694,-0.09575693,-1.7026,0.6327298,-0.1698389,2.166909,-0.7555985,-0.4699094,0.06031,-0.0114918,-0.2530339,Normal
1:54:43 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.0519896,0.120329,-0.09688552,-1.644348,0.5758984,-0.1719742,2.09757,-0.6144805,-0.2872613,0.05536828,-0.009459389,-0.254151,Normal
1:54:43 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.0521928,0.1034877,-0.1075473,-1.668506,0.6276632,-0.1397427,2.182301,-0.6546178,-0.5313443,0.0556796,-0.01836464,-0.2522041,Normal
1:54:44 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.03211687,0.1057746,-0.1218907,-1.70925,0.7050791,-0.1580347,1.81109,-0.9360198,-0.4848982,0.06387948,-0.01939609,-0.2443666,Normal
1:54:44 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.02137959,0.08957121,-0.08663115,-1.742925,0.6424391,-0.1813377,2.162625,-0.5621997,-0.3758698,0.05845156,-0.01200929,-0.247826,Normal
1:54:45 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.04842678,0.1086872,-0.09270664,-1.672668,0.6739888,-0.1522402,2.261251,-0.3937893,-0.7244745,0.0522874,-0.01973364,-0.2560782,Normal
1:54:45 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.05128011,0.1154042,-0.07359593,-1.566391,0.6434155,-0.1549914,2.183852,-0.5809069,-0.4945297,0.05604647,-0.01521892,-0.250095,Normal
1:54:46 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.04599375,0.1120088,-0.07741884,-1.589085,0.6173707,-0.1742409,2.244104,-0.5290897,-0.5834472,0.05272809,-0.02010765,-0.2514743,Normal
1:54:46 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.05150037,0.1046219,-0.08427065,-1.627753,0.6535118,-0.1804709,2.098644,-0.8675235,-0.4632204,0.06040637,-0.01293171,-0.2493875,Normal
1:54:47 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.07010227,0.1105276,-0.07560797,-1.678573,0.67895,-0.2028271,2.231312,-0.7769812,-0.3178124,0.05665846,-0.008886608,-0.251562,Normal
1:54:47 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.0587339,0.09645414,-0.06735507,-1.650218,0.6126156,-0.1505713,2.181423,-0.8022147,-0.5658327,0.05880909,-0.0162009,-0.2525978,Normal
1:54:48 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.05294935,0.1006777,-0.07697332,-1.610872,0.653389,-0.1958975,2.263133,-0.2131917,-0.7220323,0.04906197,-0.02151327,-0.2608108,Normal
1:54:48 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.04416065,0.09418838,-0.0756321,-1.635562,0.6124923,-0.1850285,2.202484,-0.5999014,-0.6931656,0.05600756,-0.01903187,-0.2568813,Normal
1:54:49 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.04127429,0.08727947,-0.08465216,-1.641204,0.6741202,-0.1630488,2.066886,-0.7247465,-0.4105212,0.05906787,-0.01192228,-0.2480834,Normal
1:54:49 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.03992603,0.1183544,-0.07065685,-1.506708,0.6279252,-0.1572121,2.010027,-0.4695202,-0.5406477,0.05406905,-0.01659668,-0.2543367,Normal
1:54:50 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.05157681,0.1030502,-0.06832661,-1.581925,0.6227739,-0.1271643,2.261706,-0.6090788,-0.5740978,0.0545248,-0.01639962,-0.2544282,Normal
1:54:50 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.03183338,0.1079471,-0.09967986,-1.579644,0.6846412,-0.1683581,2.281573,-0.4173377,-0.9740319,0.05344093,-0.02883497,-0.2590142,Normal
